Caption,Comments,Likes,URL
"ZARA ORIGINS - A new line whose mission is to examine the evolution of clothing in order to revolutionise it, both for now and the future #zaraorigins 
Thank you @ottawakwami @sachaquenby @moustapha_luka @thankyoubabacar 
Photograph by @tylersphotos",397,120701,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/242072443_546729873283397_1190922256918406125_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=znlqaeaOlkQAX-83Q5c&edm=ALQROFkBAAAA&ccb=7-4&oh=27a1664bd6ff0d8748f079e014fa8293&oe=6164D6E9&_nc_sid=30a2ef&ig_cache_key=MjY2MzkzMTI3Mzc4ODM2MTIyNA%3D%3D.2-ccb7-4
ZARA ORIGINS. A project focused upon building a contemporary wardrobe. SEPTEMBER 16  @zaraman #zaraman #zaraorigins #comingsoon,233,21818,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/241801572_281742810429777_6268126214871059366_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=Q1AxVctm878AX8rSIGR&edm=ALQROFkBAAAA&ccb=7-4&oh=00d366a1c0905145ecde0bacd0d85f45&oe=6163B7ED&_nc_sid=30a2ef&ig_cache_key=MjY2Mjc0MTAyNzcxMzIxMzA4Mw%3D%3D.2-ccb7-4
ZARA ORIGINS. A project focused upon building a contemporary wardrobe. SEPTEMBER 16  @zaraman #zaraman #zaraorigins #comingsoon,157,28232,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/242021303_286157746291780_2363843636077370051_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=ZQRSBLdSU6EAX-_smXe&edm=APU89FABAAAA&ccb=7-4&oh=cdaed6beb2e1be7afe1ad2c4ae450f8b&oe=615F51B4&_nc_sid=86f79a
ZARA ORIGINS. A project focused upon building a contemporary wardrobe. SEPTEMBER 16  @zaraman #zaraman #zaraorigins #comingsoon,151,22654,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/241885518_590299211987450_2714372506386629621_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=o_o_UPhs5wcAX9ZRT5O&edm=APU89FABAAAA&ccb=7-4&oh=60aab925e1eb2c5c1698ebf6044682f7&oe=6164C4E1&_nc_sid=86f79a
"KASSL EDITIONS X ZARA collection
Whether expressed in the perfect nylon rain hat or a quilted sofa, KASSL’s preoccupations with tactility, longevity, quality and colour are apparent 
in every item in the KASSL EDITIONS X ZARA capsule collection. 
The ambitious collaboration typifes KASSL’s distinctive clean, unpolished aesthetic and the brand’s commitment to quality.
#kassleditionsxzara @kassleditions",328,23356,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/241729581_387244442948524_3366982270056426212_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=bOmg8mJGS9cAX-Z31OR&edm=APU89FABAAAA&ccb=7-4&oh=74bc8d3fb8279371aa25de9a1e19b512&oe=61630A73&_nc_sid=86f79a
"KASSL EDITIONS X ZARA collection
From early September 2021, individuals everywhere have a special opportunity to fully immerse themselves in the exacting inner and outer worlds of KASSL Editions, as the cult label adored by fashion insiders for its desirable utility-wear proudly presents a collection of durable objects for the home and an edit of new ready-to-wear designs with the respected brand Zara.
#kassleditionsxzara @kassleditions",328,27305,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/241730829_254134500048212_759266607795170806_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=-6ngj96p8rAAX9UMnSD&edm=APU89FABAAAA&ccb=7-4&oh=b2767d5c35402626227709d760ef62e9&oe=61645E41&_nc_sid=86f79a
"KASSL EDITIONS X ZARA collection.
Modern, modular dressing for the home and the individual
#kassleditionsxzara @kassleditions",287,24985,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/241856920_4400129883359441_8407660978498821340_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=uTnWXb2U9r4AX8IeMPF&edm=APU89FABAAAA&ccb=7-4&oh=c78bf48977bc300849db905a8faeaa00&oe=616338DF&_nc_sid=86f79a
The crochet edit @zarakids #zarakids,338,39536,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/241668970_609958119995995_3130152747513767393_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=H0lCVYg11m8AX-XK1mA&edm=ALQROFkBAAAA&ccb=7-4&oh=cf98e1bbb0ff27c20c3a9cb6fbae468b&oe=6164B483&_nc_sid=30a2ef&ig_cache_key=MjY1OTg3OTM0MjUwMTY5MjIzMA%3D%3D.2-ccb7-4
Co-ord knitwear @zarakids #zarakids,359,76240,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/241673385_842904633260024_8765392115502109969_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=Od-jR6kALfQAX_29bCq&edm=ALQROFkBAAAA&ccb=7-4&oh=5a46e61222faa130ed6768b03c85e219&oe=6164E2AD&_nc_sid=30a2ef&ig_cache_key=MjY1OTY2NTgxNjgyNjcxMzE1OA%3D%3D.2-ccb7-4
The crochet edit @zarakids #zarakids,166,25782,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/241510614_868691150717556_1760718555768304286_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=GKdPJffo9RYAX9XwR_4&edm=ALQROFkBAAAA&ccb=7-4&oh=4cc4cf9c44b23b04fcb56a56472ee4f7&oe=6164088F&_nc_sid=30a2ef&ig_cache_key=MjY1OTU3MDY3NTAyOTk0MTE2NQ%3D%3D.2-ccb7-4
